umap_x,umap_y,label,variant_id
20.05407,17.840471,benign,clinvar_54755
23.976614,21.79981,benign,clinvar_54709
24.4064,22.372107,benign,clinvar_37489
22.469011,16.644295,benign,clinvar_37488
24.521923,22.652542,benign,clinvar_37479
25.44798,22.562525,benign,clinvar_41812
17.036093,15.772879,benign,clinvar_54613
16.916325,15.722994,benign,clinvar_41811
16.50274,15.658394,benign,clinvar_37476
17.23808,16.124117,benign,clinvar_54604
22.577574,18.788092,benign,clinvar_91592
18.544436,15.624336,benign,clinvar_17681
24.827145,23.025309,benign,clinvar_37473
25.482338,19.015505,benign,clinvar_41810
22.5946,15.968937,benign,clinvar_54567
25.215223,18.760546,benign,clinvar_54561
24.324646,17.377,benign,clinvar_37464
24.628284,21.130796,benign,clinvar_41809
26.460283,19.464104,benign,clinvar_54522
19.483942,14.739115,benign,clinvar_54486
24.35799,19.11507,benign,clinvar_37454
25.508556,18.273266,benign,clinvar_37452
25.992216,18.466906,benign,clinvar_54456
25.622116,18.80824,benign,clinvar_41808
20.18791,14.921177,benign,clinvar_37441
22.654982,18.028585,benign,clinvar_54402
18.529991,16.219025,benign,clinvar_54401
19.123121,17.257902,benign,clinvar_54371
22.196905,18.278925,benign,clinvar_54367
24.304167,22.12379,benign,clinvar_41806
18.76858,14.72537,benign,clinvar_54329
17.879936,15.3766575,benign,clinvar_37423
19.025557,15.6394,benign,clinvar_54310
25.038443,18.495056,benign,clinvar_37420
21.455498,15.636566,benign,clinvar_54278
17.684763,15.395536,benign,clinvar_41805
18.345352,15.734754,benign,clinvar_37416
24.201662,22.320236,benign,clinvar_54258
18.127735,14.475028,benign,clinvar_54248
18.32331,14.049792,benign,clinvar_54249
16.63946,16.028921,benign,clinvar_54228
24.875523,21.666267,benign,clinvar_41804
23.088814,18.95585,benign,clinvar_37390
23.85166,18.182697,benign,clinvar_41803
19.136667,14.53836,benign,clinvar_37389
18.896519,14.89019,benign,clinvar_54099
23.004177,17.983753,benign,clinvar_37709
21.301945,18.577126,benign,clinvar_55743
26.337294,21.328384,benign,clinvar_55731
25.088959,22.217825,benign,clinvar_37706
26.417881,20.52958,benign,clinvar_55726
25.403913,18.311663,benign,clinvar_55725
18.09429,15.490288,benign,clinvar_55720
24.508703,18.437317,benign,clinvar_41835
23.914131,19.225662,benign,clinvar_55677
23.812037,21.612432,benign,clinvar_37689
22.276472,16.029303,benign,clinvar_37684
21.89323,15.692483,benign,clinvar_55635
17.05028,14.757589,benign,clinvar_37661
21.563974,15.369187,benign,clinvar_55393
24.56606,19.512432,benign,clinvar_55247
26.872093,20.796316,benign,clinvar_37580
23.91175,19.531157,benign,clinvar_41823
21.23399,15.23537,benign,clinvar_55067
18.071762,14.87528,benign,clinvar_55064
23.622414,18.778875,benign,clinvar_54971
17.585781,15.813738,benign,clinvar_54780
23.030947,20.667995,benign,clinvar_37505
23.768787,19.09916,pathogenic,clinvar_54704
22.94992,16.916113,pathogenic,clinvar_17693
23.697254,19.818642,benign,clinvar_54431
21.422125,16.699402,pathogenic,clinvar_54400
21.780893,16.984056,pathogenic,clinvar_17661
17.445866,14.637277,pathogenic,clinvar_54246
17.30045,14.31726,pathogenic,clinvar_54199
17.86811,14.490185,pathogenic,clinvar_54200
17.942982,14.544432,pathogenic,clinvar_54191
23.444904,18.009264,pathogenic,clinvar_54166
19.791708,16.372643,pathogenic,clinvar_54152
25.42504,17.751156,pathogenic,clinvar_54131
24.71081,17.87203,pathogenic,clinvar_55656
20.95683,18.336542,pathogenic,clinvar_37664
23.746822,19.55413,pathogenic,clinvar_55072
24.881874,21.85725,benign,clinvar_55637
24.671793,22.164455,benign,clinvar_55632
26.748848,20.289635,pathogenic,clinvar_55627
25.098627,22.856857,pathogenic,clinvar_55614
23.126865,22.259867,pathogenic,clinvar_37681
25.995697,20.961702,pathogenic,clinvar_37680
24.800634,19.341368,pathogenic,clinvar_55598
24.602402,21.406687,pathogenic,clinvar_55588
26.31948,21.654734,benign,clinvar_55585
25.11439,21.408066,pathogenic,clinvar_37672
25.104803,21.488905,pathogenic,clinvar_37670
25.754047,22.279633,pathogenic,clinvar_55578
26.046137,20.559164,pathogenic,clinvar_37668
25.686272,22.144112,pathogenic,clinvar_55550
25.554497,20.228603,pathogenic,clinvar_55541
24.176088,20.076374,pathogenic,clinvar_55483
25.083239,22.317274,pathogenic,clinvar_55476
24.26282,20.884987,pathogenic,clinvar_55465
26.153072,20.98994,pathogenic,clinvar_55466
24.998112,20.595396,pathogenic,clinvar_55464
24.27722,21.732824,pathogenic,clinvar_55462
24.109816,20.721333,pathogenic,clinvar_55456
